game_id,config,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,placement_1,placement_2,placement_3,placement_4
2357,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,History,Neural_MLP,Neural_MLP_SELF,PUCT
2358,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History
2356,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP,Neural_MLP_SELF
2359,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP,Neural_MLP_SELF,History,Neural_MLP,PUCT
2360,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,Neural_MLP,PUCT,Neural_MLP_SELF,History
2362,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History,Neural_MLP_SELF
2361,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP,Neural_MLP_SELF,Neural_MLP,History,PUCT
2363,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,PUCT,Neural_MLP,History,PUCT,Neural_MLP,History,Neural_MLP_SELF
2365,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP
2366,History_Neural_MLP_Neural_MLP_SELF_PUCT,History,Neural_MLP,PUCT,Neural_MLP_SELF,History,Neural_MLP,PUCT,Neural_MLP_SELF
2364,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,PUCT,History,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP,History
2367,History_Neural_MLP_Neural_MLP_SELF_PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT,Neural_MLP,History,Neural_MLP_SELF,PUCT
